2026-06-24T08:12:16.150442Z [info     ] Starting dev persistence flush loop [langgraph_runtime_inmem._persistence] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:16.199761Z [info     ] Using langgraph_runtime_inmem  [langgraph_runtime] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:16.441691Z [info     ] Using auth of type=noop        [langgraph_api.auth.middleware] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:17.974325Z [info     ] 2 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:18.349358Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:18.715915Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:18.763965Z [info     ] Starting dev persistence flush loop [langgraph_runtime_inmem._persistence] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:18.788135Z [info     ] Using langgraph_runtime_inmem  [langgraph_runtime] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:18.872713Z [info     ] Using auth of type=noop        [langgraph_api.auth.middleware] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:18.880606Z [info     ] Starting In-Memory runtime with langgraph-api=0.10.0 and in-memory runtime=0.30.0 [langgraph_runtime_inmem.lifespan] api_variant=local_dev langgraph_api_version=0.10.0 langgraph_runtime_inmem_version=0.30.0 thread_name=asyncio_0 version=0.10.0
2026-06-24T08:12:19.130551Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:19.208967Z [info     ] No license key or control plane API key set, skipping metadata loop [langgraph_api.metadata] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:19.218813Z [info     ] Importing graph profiling      [langgraph_api.timing.timer] api_variant=local_dev elapsed_seconds=0.009947999991709366 graph_id=dashboard_agent langgraph_api_version=0.10.0 module=None name=_graph_from_spec path=./src/dashboard_agent/agent.py thread_name=asyncio_0
2026-06-24T08:12:19.244084Z [info     ] Application started up in 0.916s [langgraph_api.timing.timer] api_variant=local_dev elapsed=0.9158624999981839 langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:19.316794Z [info     ] Starting cron scheduler        [langgraph_api.cron_scheduler] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:19.317402Z [info     ] Starting queue with shared loop [langgraph_runtime_inmem.queue] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=asyncio_0
2026-06-24T08:12:19.325052Z [info     ] Starting 1 background workers  [langgraph_runtime_inmem.queue] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=asyncio_0
2026-06-24T08:12:19.327939Z [info     ] Worker stats                   [langgraph_runtime_inmem.queue] active=0 api_variant=local_dev available=1 langgraph_api_version=0.10.0 max=1 thread_name=asyncio_1
2026-06-24T08:12:19.377730Z [info     ] Server started in 5.22s        [browser_opener] api_variant=local_dev langgraph_api_version=0.10.0 message='Server started in 5.22s' thread_name='Thread-2 (_open_browser)'
2026-06-24T08:12:19.384319Z [info     ] 🎨 Opening Studio in your browser... [browser_opener] api_variant=local_dev langgraph_api_version=0.10.0 message='🎨 Opening Studio in your browser...' thread_name='Thread-2 (_open_browser)'
2026-06-24T08:12:19.389049Z [info     ] URL: https://smith.langchain.com/studio/?baseUrl=http://127.0.0.1:2025 [browser_opener] api_variant=local_dev langgraph_api_version=0.10.0 message='URL: https://smith.langchain.com/studio/?baseUrl=http://127.0.0.1:2025' thread_name='Thread-2 (_open_browser)'
2026-06-24T08:12:19.536973Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:19.838152Z [info     ] Queue stats                    [langgraph_runtime_inmem.queue] api_variant=local_dev langgraph_api_version=0.10.0 n_pending=0 n_running=0 pending_runs_wait_time_max_secs=None pending_runs_wait_time_med_secs=None pending_unblocked_runs_wait_time_max_secs=None thread_name=asyncio_0
2026-06-24T08:12:19.956668Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:20.379409Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:20.749385Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:21.236388Z [info     ] 5 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:21.824079Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:22.330657Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:22.737409Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:23.158125Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:23.604061Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:23.989855Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:24.369684Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:24.776420Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:25.186886Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:25.598842Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:26.027873Z [info     ] 2 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:26.389528Z [info     ] 2 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:26.744622Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:27.154455Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:27.765057Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:28.449550Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:28.892691Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:29.545576Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:30.094656Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:30.861761Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:31.244564Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:32.613518Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:33.021083Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
